gene,log2fc,adjusted_p,comparator
HLX,2.1,0.0001,group4
SLC16A1,1.5,0.001,group4
RBM24,-1.9,0.002,group4
MYC,2.8,0.00001,group4
TP53,0.1,0.8,group4
GLI1,0.2,0.7,group4
GAPDH,0.05,0.95,group4
ACTB,-0.1,0.9,group4
SOX2,0.3,0.5,group4
NEUROD1,-0.2,0.6,group4
HLX,1.8,0.0003,shh
SLC16A1,1.3,0.003,shh
RBM24,-1.7,0.004,shh
MYC,2.4,0.00002,shh
TP53,0.2,0.7,shh
GLI1,-3.5,0.00001,shh
GAPDH,-0.05,0.95,shh
ACTB,0.1,0.9,shh
SOX2,-0.3,0.5,shh
NEUROD1,0.2,0.6,shh
HLX,1.6,0.0005,wnt
SLC16A1,1.1,0.005,wnt
RBM24,-1.5,0.008,wnt
MYC,2.2,0.00004,wnt
TP53,-0.1,0.8,wnt
GLI1,0.3,0.6,wnt
GAPDH,0.05,0.95,wnt
ACTB,-0.1,0.9,wnt
SOX2,0.2,0.7,wnt
NEUROD1,-0.3,0.5,wnt
