group1,group2,n1,n2,median_difference,rank_biserial,p_value,adjusted_p
"group3_alpha","group3_beta",67,37,-2.01162949008192,-0.648245260185559,4.97249259730831e-08,1.36743546425978e-07
"group3_alpha","group3_gamma",67,40,-3.61731797521088,-0.87910447761194,3.4064976566097e-14,2.49809828151378e-13
"group3_alpha","group4_alpha",67,98,0.254758249870974,0.449741090466037,9.70276442524565e-07,2.4630094310239e-06
"group3_alpha","group4_beta",67,109,0.29876211030831,0.572367520197179,1.93152160932186e-10,8.95479601581428e-10
"group3_alpha","group4_gamma",67,119,0.282890717665429,0.488900037626991,3.23906332866386e-08,9.29470346486151e-08
"group3_alpha","shh_alpha",67,65,0.0663730219193495,0.100574052812859,0.319944360964563,0.383933233157476
"group3_alpha","shh_beta",67,35,0.11612605711645,0.315138592750533,0.00929403235109993,0.015728362440323
"group3_alpha","shh_delta",67,76,-0.00517792236811054,0.0437941869599372,0.653394485738528,0.673813063417857
"group3_alpha","shh_gamma",67,47,0.17642656738426,0.31819625277866,0.00396119160219377,0.00726218460402191
"group3_alpha","wnt_alpha",67,49,0.224123309415559,0.363082546451416,0.000872938371374143,0.00180043539095917
"group3_alpha","wnt_beta",67,21,0.14166114922359,0.186922530206112,0.199688318327402,0.253450557877088
"group3_beta","group3_gamma",37,40,-1.60568848512896,-0.460810810810811,0.000517368131105915,0.00113820988843301
"group3_beta","group4_alpha",37,98,2.26638773995289,0.834804191947049,8.41549052665869e-14,5.04929431599521e-13
"group3_beta","group4_beta",37,109,2.31039160039023,0.881229853706918,1.33226762955019e-15,2.19824158875781e-14
"group3_beta","group4_gamma",37,119,2.29452020774735,0.844878491937316,9.32587340685131e-15,1.02584607475364e-13
"group3_beta","shh_alpha",37,65,2.07800251200127,0.713097713097713,2.4481965343881e-09,8.97672062608971e-09
"group3_beta","shh_beta",37,35,2.12775554719837,0.790733590733591,8.25520429792448e-09,2.71303378370269e-08
"group3_beta","shh_delta",37,76,2.00645156771381,0.693812233285918,2.43885134310062e-09,8.97672062608971e-09
"group3_beta","shh_gamma",37,47,2.18805605746618,0.793559516963772,5.20891774158372e-10,2.14867856840328e-09
"group3_beta","wnt_alpha",37,49,2.23575279949748,0.804743519029233,2.03518091268506e-10,8.95479601581428e-10
"group3_beta","wnt_beta",37,21,2.15329063930551,0.701415701415701,1.07895929197799e-05,2.54326118823383e-05
"group3_gamma","group4_alpha",40,98,3.87207622508185,0.954336734693878,0,0
"group3_gamma","group4_beta",40,109,3.91608008551919,0.969036697247707,0,0
"group3_gamma","group4_gamma",40,119,3.90020869287631,0.957142857142857,0,0
"group3_gamma","shh_alpha",40,65,3.68369099713023,0.893846153846154,1.79856129989275e-14,1.69578636847031e-13
"group3_gamma","shh_beta",40,35,3.73344403232733,0.935714285714286,3.62798679987009e-12,1.99539273992855e-11
"group3_gamma","shh_delta",40,76,3.61214005284277,0.889802631578947,3.99680288865056e-15,5.27577981301874e-14
"group3_gamma","shh_gamma",40,47,3.79374454259514,0.936702127659574,6.63913368725844e-14,4.38182823359057e-13
"group3_gamma","wnt_alpha",40,49,3.84144128462644,0.938775510204082,3.35287353436797e-14,2.49809828151378e-13
"group3_gamma","wnt_beta",40,21,3.75897912443447,0.902380952380952,9.16985709586982e-09,2.75095712876094e-08
"group4_alpha","group4_beta",98,109,0.0440038604373356,0.134712600636585,0.0947207140168658,0.126325890022744
"group4_alpha","group4_gamma",98,119,0.028132467794455,0.0577945463899845,0.464721923914268,0.528821499626581
"group4_alpha","shh_alpha",98,65,-0.188385227951625,-0.397645211930926,1.77998566968878e-05,4.05100186894688e-05
"group4_alpha","shh_beta",98,35,-0.138632192754525,-0.206997084548105,0.0700748707020277,0.0984030099219963
"group4_alpha","shh_delta",98,76,-0.259936172239085,-0.460660580021482,1.95219979760648e-07,5.1538074656811e-07
"group4_alpha","shh_gamma",98,47,-0.0783316824867146,-0.175640468953539,0.087885388026872,0.120842408536949
"group4_alpha","wnt_alpha",98,49,-0.0306349404554149,-0.0960016659725115,0.344593709276251,0.406128300218439
"group4_alpha","wnt_beta",98,21,-0.113097100647384,-0.232750242954325,0.0957014318354121,0.126325890022744
"group4_beta","group4_gamma",109,119,-0.0158713926428806,-0.0766324878575283,0.318292668514333,0.383933233157476
"group4_beta","shh_alpha",109,65,-0.232389088388961,-0.522371206774877,8.6323802208722e-09,2.71303378370269e-08
"group4_beta","shh_beta",109,35,-0.18263605319186,-0.352817824377457,0.0017338461256595,0.0033657013027508
"group4_beta","shh_delta",109,76,-0.303940032676421,-0.585828102366007,1.28326623666998e-11,6.51504397078607e-11
"group4_beta","shh_gamma",109,47,-0.12233554292405,-0.317782549287527,0.00167561384921155,0.00335122769842311
"group4_beta","wnt_alpha",109,49,-0.0746388008927506,-0.221681333083692,0.0261732051494282,0.0401728265084246
"group4_beta","wnt_beta",109,21,-0.15710096108472,-0.356924421144605,0.00984621429413405,0.0162462535853212
"group4_gamma","shh_alpha",119,65,-0.21651769574608,-0.435552682611506,1.07882647532907e-06,2.63713138413774e-06
"group4_gamma","shh_beta",119,35,-0.16676466054898,-0.253301320528211,0.023074808482485,0.037144813654732
"group4_gamma","shh_delta",119,76,-0.28806864003354,-0.498783724015922,4.42864552219887e-09,1.53837160244803e-08
"group4_gamma","shh_gamma",119,47,-0.10646415028117,-0.223672447702485,0.0250732469967111,0.0394008167091174
"group4_gamma","wnt_alpha",119,49,-0.0587674082498699,-0.146801577773967,0.135738067385393,0.175661028381097
"group4_gamma","wnt_beta",119,21,-0.141229568441839,-0.283713485394158,0.0388355864208865,0.0569588600839669
"shh_alpha","shh_beta",65,35,0.0497530351971003,0.241758241758242,0.0472751596431109,0.0678295768792461
"shh_alpha","shh_delta",65,76,-0.07155094428746,-0.0661943319838056,0.500190630367631,0.550209693404394
"shh_alpha","shh_gamma",65,47,0.11005354546491,0.245499181669394,0.027238543118832,0.040857814678248
"shh_alpha","wnt_alpha",65,49,0.15775028749621,0.302668759811617,0.00584944089785044,0.0104341378177873
"shh_alpha","wnt_beta",65,21,0.0752881273042405,0.102564102564103,0.484764551478793,0.542278989789836
"shh_beta","shh_delta",35,76,-0.12130397948456,-0.31390977443609,0.00812747958246534,0.0141161487484924
"shh_beta","shh_gamma",35,47,0.06030051026781,0.0224924012158054,0.865983262135624,0.865983262135624
"shh_beta","wnt_alpha",35,49,0.10799725229911,0.0798833819241982,0.537218962596802,0.581253303793262
"shh_beta","wnt_beta",35,21,0.0255350921071402,-0.0693877551020409,0.67218074566639,0.682521987907412
"shh_delta","shh_gamma",76,47,0.18160448975237,0.320548712206047,0.002907336925418,0.00548240677364538
"shh_delta","wnt_alpha",76,49,0.22930123178367,0.36358754027927,0.000623276495963943,0.00132697576560065
"shh_delta","wnt_beta",76,21,0.146839071591701,0.164786967418546,0.251183117284662,0.3127940705809
"shh_gamma","wnt_alpha",47,49,0.0476967420312997,0.0686061658706036,0.565036369306987,0.599884947917479
"shh_gamma","wnt_beta",47,21,-0.0347654181606698,-0.0871327254305978,0.572617450284867,0.599884947917479
"wnt_alpha","wnt_beta",49,21,-0.0824621601919695,-0.139941690962099,0.359459879707829,0.416216702819592
