ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-000055","D283 Med","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-0.875654896619467,TRUE,"HLX"
"ACH-000095","D341 Med","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-0.516661501742584,TRUE,"HLX"
"ACH-000211","Daoy","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-0.0564943859262392,TRUE,"HLX"
"ACH-000776","ONS-76","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-0.0990617846037976,TRUE,"HLX"
"ACH-001052","D384","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",NA,TRUE,"HLX"
"ACH-001053","D425","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",0.0349564608454643,TRUE,"HLX"
"ACH-001054","D458","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",0.0188269038382263,TRUE,"HLX"
"ACH-001055","D556","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",NA,TRUE,"HLX"
"ACH-001201","SU-MB-002","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",NA,TRUE,"HLX"
"ACH-001232","UW228","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",0.0884988529780835,TRUE,"HLX"
