ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-000001","NIH:OVCAR-3","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC",0.0627455647867447,FALSE,"HLX"
"ACH-000002","HL-60","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",NA,FALSE,"HLX"
"ACH-000003","CACO2","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",NA,FALSE,"HLX"
"ACH-000004","HEL","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",0.125020922393932,FALSE,"HLX"
"ACH-000005","HEL 92.1.7","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",-0.0585425577699808,FALSE,"HLX"
"ACH-000006","MONO-MAC-6","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","AMOL",NA,FALSE,"HLX"
"ACH-000007","LS513","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",-0.0953436322003178,FALSE,"HLX"
"ACH-000008","A101D","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-000009","C2BBe1","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",0.044488374564106,FALSE,"HLX"
"ACH-000011","253J","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",-0.00278382082105669,FALSE,"HLX"
"ACH-000012","HCC-827","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.093024088566985,FALSE,"HLX"
"ACH-000013","ONCO-DG-1","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC",-0.0855372883574846,FALSE,"HLX"
"ACH-000014","Hs 294T","Skin","Melanoma","Melanoma","MEL",-0.0710740592480061,FALSE,"HLX"
"ACH-000015","NCI-H1581","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","LCLC",0.0727883921155761,FALSE,"HLX"
"ACH-000016","SLR 21","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC",NA,FALSE,"HLX"
"ACH-000017","SK-BR-3","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA",0.00709415017221851,FALSE,"HLX"
"ACH-000018","T24","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",-0.26069507662173,FALSE,"HLX"
"ACH-000019","MCF7","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA",-0.0820830464732649,FALSE,"HLX"
"ACH-000020","MHH-CALL-2","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy","BLLHYPO",NA,FALSE,"HLX"
"ACH-000021","NCI-H1693","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.0461775973964185,FALSE,"HLX"
"ACH-000022","PA-TU-8988S","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",-0.0238292408537038,FALSE,"HLX"
"ACH-000023","PA-TU-8988T","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",-0.12977230697214,FALSE,"HLX"
"ACH-000024","OPM-2","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",0.0383571650761783,FALSE,"HLX"
"ACH-000025","CH-157MN","CNS/Brain","Meningothelial Tumor","Meningioma","MNG",-0.295452413357476,FALSE,"HLX"
"ACH-000026","253J-BV","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",-0.0794502179167797,FALSE,"HLX"
"ACH-000027","GOS-3","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",NA,FALSE,"HLX"
"ACH-000028","KPL-1","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA",0.176271363604891,FALSE,"HLX"
"ACH-000029","HCC-827-GR5","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.0361962158249178,FALSE,"HLX"
"ACH-000030","PC-14","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.0700707500068198,FALSE,"HLX"
"ACH-000031","Panc 02.13","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",NA,FALSE,"HLX"
"ACH-000032","MHH-CALL-3","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1","BLLTCF3PBX1",NA,FALSE,"HLX"
"ACH-000033","NCI-H1819","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"HLX"
"ACH-000034","PLB-985","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",NA,FALSE,"HLX"
"ACH-000035","NCI-H1650","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","NSCLC",0.105709857857126,FALSE,"HLX"
"ACH-000036","U343","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",0.0936714770698587,FALSE,"HLX"
"ACH-000037","S-117","Soft Tissue","Sarcoma, NOS","Sarcoma, NOS","SARCNOS",0.0998064299514836,FALSE,"HLX"
"ACH-000038","EHEB","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","BLL",NA,FALSE,"HLX"
"ACH-000039","SK-N-MC","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-0.0635972647522987,FALSE,"HLX"
"ACH-000040","U-118 MG","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR",0.0743493307480391,FALSE,"HLX"
"ACH-000041","RD-ES","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",0.234159345550423,FALSE,"HLX"
"ACH-000042","Panc 02.03","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",0.046054333224021,FALSE,"HLX"
"ACH-000043","Hs 895.T","Fibroblast","Non-Cancerous","Fibroblast, Skin","",NA,FALSE,"HLX"
"ACH-000044","MDA-MB-134-VI","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ILC",NA,FALSE,"HLX"
"ACH-000045","MV4-11","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",0.148094901315519,FALSE,"HLX"
"ACH-000046","ACHN","Kidney","Renal Cell Carcinoma","Papillary Renal Cell Carcinoma","PRCC",NA,FALSE,"HLX"
"ACH-000047","GCIY","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","STAD",0.0253515715624479,FALSE,"HLX"
"ACH-000048","TOV-112D","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Endometrioid Ovarian Cancer","EOV",-0.0274902954048713,FALSE,"HLX"
"ACH-000049","HEK TE","Kidney","Non-Cancerous","Immortalized Embyonic Kidney Cells","",NA,FALSE,"HLX"
"ACH-000050","NCI-H929","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",NA,FALSE,"HLX"
"ACH-000051","TE 617.T","Soft Tissue","Rhabdomyosarcoma","Rhabdomyosarcoma","RMS",NA,FALSE,"HLX"
"ACH-000052","A-673","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",0.0438076040442554,FALSE,"HLX"
"ACH-000053","KARPAS-299","Lymphoid","Mature T and NK Neoplasms","Anaplastic Large-Cell Lymphoma ALK Positive","ALCLALKP",0.177958089480664,FALSE,"HLX"
"ACH-000054","HT-1080","Soft Tissue","Fibrosarcoma","Fibrosarcoma","FIBS",-0.220237186564256,FALSE,"HLX"
"ACH-000055","D283 Med","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-0.875654896619467,TRUE,"HLX"
"ACH-000056","DOHH-2","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS",NA,FALSE,"HLX"
"ACH-000057","OPM-1","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",NA,FALSE,"HLX"
"ACH-000058","ML-1","Thyroid","Well-Differentiated Thyroid Cancer","Follicular Thyroid Cancer","THFO",NA,FALSE,"HLX"
"ACH-000059","SUP-B15","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1","BLLBCRABL1",NA,FALSE,"HLX"
"ACH-000060","Panc 10.05","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",0.0570538929336758,FALSE,"HLX"
"ACH-000061","HH","Lymphoid","Non-Hodgkin Lymphoma","Mature T and NK Neoplasms","MTNN",NA,FALSE,"HLX"
