cancer_type,sample_type,n
"atrt","primary",10
"epd_it","primary",0
"etmr","primary",4
"ews","primary",0
"hgg_k27m","primary",9
"hggother","primary",17
"mb_group3","primary",37
"mb_group4","primary",64
"mb_shh","primary",25
"mb_wnt","primary",12
"nb","primary",0
"os","primary",0
"pa","primary",68
"rms","primary",0
"t-all","primary",1
"atrt","relapse",1
"epd_it","relapse",2
"etmr","relapse",0
"ews","relapse",5
"hgg_k27m","relapse",2
"hggother","relapse",5
"mb_group3","relapse",0
"mb_group4","relapse",3
"mb_shh","relapse",0
"mb_wnt","relapse",0
"nb","relapse",1
"os","relapse",2
"pa","relapse",0
"rms","relapse",4
"t-all","relapse",0
