group1,group2,n1,n2,median_difference,rank_biserial,p_value,adjusted_p
"atrt","etmr",10,4,0.459545157754887,0.9,0.0133283287808175,0.0373046977430605
"atrt","hgg_k27m",10,9,0.00452256980150367,0.0555555555555556,0.870226345889151,0.880232147096287
"atrt","hggother",10,17,-0.0224444777987658,-0.0411764705882353,0.880232147096287,0.880232147096287
"atrt","mb_group3",10,37,-0.0791992560959995,-0.0972972972972973,0.649187773658143,0.726294537894728
"atrt","mb_group4",10,64,0.516505625165554,0.8234375,3.18165584145547e-05,0.000229079220584794
"atrt","mb_shh",10,25,0.256709593398305,0.42,0.0575770317552686,0.115154063510537
"atrt","mb_wnt",10,12,0.389703604301258,0.616666666666667,0.0160956803792756,0.0413888924038514
"atrt","pa",10,68,0.190703360698782,0.347058823529412,0.0790105001504748,0.129289909337141
"etmr","hgg_k27m",4,9,-0.455022587953384,-0.777777777777778,0.0372425445959794,0.0893821070303505
"etmr","hggother",4,17,-0.481989635553653,-0.867647058823529,0.00934978313684327,0.0315540285349013
"etmr","mb_group3",4,37,-0.538744413850887,-0.533783783783784,0.0865955497369695,0.135540860457865
"etmr","mb_group4",4,64,0.0569604674106672,0.1484375,0.629478280392361,0.726294537894728
"etmr","mb_shh",4,25,-0.202835564356582,-0.63,0.0498960976698032,0.10566232447723
"etmr","mb_wnt",4,12,-0.069841553453629,-0.416666666666667,0.249302903108677,0.32053230399687
"etmr","pa",4,68,-0.268841797056105,-0.742647058823529,0.0134711408516607,0.0373046977430605
"hgg_k27m","hggother",9,17,-0.0269670476002695,-0.104575163398693,0.685944841345021,0.726294537894728
"hgg_k27m","mb_group3",9,37,-0.0837218258975032,-0.153153153153153,0.488783725099622,0.605457297931338
"hgg_k27m","mb_group4",9,64,0.511983055364051,0.715277777777778,0.000561512265372155,0.00336907359223293
"hgg_k27m","mb_shh",9,25,0.252187023596802,0.36,0.118363689314686,0.170443712613148
"hgg_k27m","mb_wnt",9,12,0.385181034499755,0.490740740740741,0.0645532088310876,0.121068336583944
"hgg_k27m","pa",9,68,0.186180790897278,0.287581699346405,0.165289578672912,0.228862493547109
"hggother","mb_group3",17,37,-0.0567547782972337,-0.0747217806041336,0.668381029963053,0.726294537894728
"hggother","mb_group4",17,64,0.53895010296432,0.828125,1.78387854932183e-07,3.21098138877929e-06
"hggother","mb_shh",17,25,0.279154071197071,0.477647058823529,0.0096415087189976,0.0315540285349013
"hggother","mb_wnt",17,12,0.412148082100024,0.676470588235294,0.00241650920100112,0.0124277616051486
"hggother","pa",17,68,0.213147838497548,0.41522491349481,0.00849820763339126,0.0315540285349013
"mb_group3","mb_group4",37,64,0.595704881261554,0.587415540540541,9.57337075613296e-07,1.14880449073596e-05
"mb_group3","mb_shh",37,25,0.335908849494305,0.273513513513514,0.0705854202500462,0.121068336583944
"mb_group3","mb_wnt",37,12,0.468902860397258,0.322072072072072,0.0987878805018074,0.148181820752711
"mb_group3","pa",37,68,0.269902616794782,0.214626391096979,0.0706231963406341,0.121068336583944
"mb_group4","mb_shh",64,25,-0.259796031767249,-0.6225,5.55044149748304e-06,4.99539734773473e-05
"mb_group4","mb_wnt",64,12,-0.126802020864296,-0.515625,0.00488417006372031,0.0219787652867414
"mb_group4","pa",64,68,-0.325802264466772,-0.731387867647059,4.31579126778241e-13,1.55368485640167e-11
"mb_shh","mb_wnt",25,12,0.132994010902953,0.276666666666667,0.183421257986634,0.244561677315512
"mb_shh","pa",25,68,-0.0660062326995232,-0.0911764705882353,0.504547748276115,0.605457297931338
"mb_wnt","pa",12,68,-0.199000243602476,-0.365196078431373,0.0453695353744244,0.102081454592455
