group,n,mean,median,iqr
"group3_alpha",67,5.95472072096793,5.79701297783614,0.522142066348371
"group3_beta",37,7.74556235606057,7.80864246791806,2.84407653718361
"group3_gamma",40,9.08769482846263,9.41433095304702,1.46101350858751
"group4_alpha",98,5.58556403867218,5.54225472796517,0.296638668835977
"group4_beta",109,5.5056974953953,5.49825086752783,0.26362218137294
"group4_gamma",119,5.55655555058177,5.51412226017071,0.321225198718786
"shh_alpha",65,5.78524612126418,5.73063995591679,0.39447617679653
"shh_beta",35,5.64224984494984,5.68088692071969,0.316190636560225
"shh_delta",76,5.8065394926478,5.80219090020425,0.397745748297076
"shh_gamma",47,5.64573870198057,5.62058641045188,0.345561635930845
"wnt_alpha",49,5.61281143354811,5.57288966842058,0.403191256430739
"wnt_beta",21,5.90067688100031,5.65535182861255,0.41001942451222
