ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-000055","D283 Med","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-0.743007875513013,TRUE,"HMGCR"
"ACH-000095","D341 Med","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-1.01040531857205,TRUE,"HMGCR"
"ACH-000211","Daoy","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-1.01997910873132,TRUE,"HMGCR"
"ACH-000776","ONS-76","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-0.85369216073202,TRUE,"HMGCR"
"ACH-001052","D384","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",NA,TRUE,"HMGCR"
"ACH-001053","D425","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-1.46043128035782,TRUE,"HMGCR"
"ACH-001054","D458","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-0.855709885704038,TRUE,"HMGCR"
"ACH-001055","D556","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",NA,TRUE,"HMGCR"
"ACH-001201","SU-MB-002","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",NA,TRUE,"HMGCR"
"ACH-001232","UW228","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL",-1.15239527449093,TRUE,"HMGCR"
