library,term,set_size,evidence
"GO_Biological_Process_2026","Cholesterol Biosynthetic Process (GO:0006695)",30,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Cholesterol Metabolic Process (GO:0008203)",76,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Isoprenoid Biosynthetic Process (GO:0008299)",9,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Isoprenoid Metabolic Process (GO:0006720)",11,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Lipid Biosynthetic Process (GO:0008610)",137,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Negative Regulation of Amyloid-Beta Clearance (GO:1900222)",9,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Negative Regulation of Catabolic Process (GO:0009895)",111,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Negative Regulation of Multicellular Organismal Process (GO:0051241)",259,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Negative Regulation of Protein Catabolic Process (GO:0042177)",74,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Negative Regulation of Protein Metabolic Process (GO:0051248)",156,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Negative Regulation of Protein Secretion (GO:0050709)",42,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Negative Regulation of Protein Transport (GO:0051224)",26,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Negative Regulation of Secretion by Cell (GO:1903531)",42,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Regulation of Amyloid-Beta Clearance (GO:1900221)",17,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Regulation of Protein Catabolic Process (GO:0042176)",171,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Regulation of Protein Secretion (GO:0050708)",100,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Secondary Alcohol Biosynthetic Process (GO:1902653)",30,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Steroid Biosynthetic Process (GO:0006694)",24,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Sterol Biosynthetic Process (GO:0016126)",32,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Sterol Metabolic Process (GO:0016125)",72,"Annotated gene membership; not enrichment or pathway activity"
