group1,group2,n1,n2,median_difference,rank_biserial,p_value,adjusted_p
"atrt","etmr",10,4,-1.61274943807851,-1,0.00582066640781088,0.0101795521566681
"atrt","hgg_k27m",10,9,-0.218702199947494,-0.333333333333333,0.236444715572304,0.266000305018842
"atrt","hggother",10,17,-0.263428557074468,-0.364705882352941,0.125672007055005,0.156006629447592
"atrt","mb_group3",10,37,-0.958953582189703,-0.908108108108108,1.33703056370456e-05,8.02218338222738e-05
"atrt","mb_group4",10,64,-0.567936945933276,-0.728125,0.00023675714059533,0.00106540713267898
"atrt","mb_shh",10,25,-0.566401708278406,-0.64,0.00369689784256715,0.00782872484308337
"atrt","mb_wnt",10,12,-0.231954030199341,-0.333333333333333,0.198515689790396,0.230534349434009
"atrt","pa",10,68,0.357485420264495,0.291176470588235,0.140971650696424,0.169165980835709
"etmr","hgg_k27m",4,9,1.39404723813102,1,0.00692751797722657,0.0113359385081889
"etmr","hggother",4,17,1.34932088100404,0.941176470588235,0.00478429060541985,0.00906497167342708
"etmr","mb_group3",4,37,0.653795855888808,0.72972972972973,0.018740398242924,0.0281105973643859
"etmr","mb_group4",4,64,1.04481249214524,0.9609375,0.00140848088275547,0.00390040859839976
"etmr","mb_shh",4,25,1.04634772980011,0.88,0.00593807209138975,0.0101795521566681
"etmr","mb_wnt",4,12,1.38079540787917,1,0.0043747609025897,0.00874952180517941
"etmr","pa",4,68,1.97023485834301,0.992647058823529,0.000944642427996412,0.00283392728398924
"hgg_k27m","hggother",9,17,-0.044726357126974,-0.0588235294117647,0.829309516759259,0.853004074380952
"hgg_k27m","mb_group3",9,37,-0.740251382242209,-0.78978978978979,0.000286331963420789,0.00114532785368316
"hgg_k27m","mb_group4",9,64,-0.349234745985783,-0.458333333333333,0.0273530285419448,0.0393883611004004
"hgg_k27m","mb_shh",9,25,-0.347699508330912,-0.386666666666667,0.0932401437155842,0.11988018477718
"hgg_k27m","mb_wnt",9,12,-0.0132518302518472,-0.0740740740740741,0.803566416196146,0.850835028913566
"hgg_k27m","pa",9,68,0.576187620211988,0.607843137254902,0.00327016130722191,0.00782872484308337
"hggother","mb_group3",17,37,-0.695525025115235,-0.748807631160572,1.20461576387702e-05,8.02218338222738e-05
"hggother","mb_group4",17,64,-0.304508388858809,-0.425551470588235,0.00738241403245976,0.0115550828334153
"hggother","mb_shh",17,25,-0.302973151203938,-0.350588235294118,0.0579281162064348,0.0772374882752463
"hggother","mb_wnt",17,12,0.0314745268751269,0.088235294117647,0.706629709905559,0.770868774442428
"hggother","pa",17,68,0.620913977338963,0.566608996539793,0.000327336618081375,0.00117841182509295
"mb_group3","mb_group4",37,64,0.391016636256427,0.494087837837838,3.79055696460018e-05,0.000194942929608009
"mb_group3","mb_shh",37,25,0.392551873911297,0.44,0.00357935886516869,0.00782872484308337
"mb_group3","mb_wnt",37,12,0.726999551990362,0.864864864864865,8.49614669684584e-06,7.64653202716126e-05
"mb_group3","pa",37,68,1.3164390024542,0.897456279809221,3.73034936274053e-14,6.71462885293295e-13
"mb_group4","mb_shh",64,25,0.00153523765487051,0.00750000000000006,0.959956545041891,0.959956545041891
"mb_group4","mb_wnt",64,12,0.335982915733935,0.5546875,0.00246913482667721,0.00634920384002711
"mb_group4","pa",64,68,0.925422366197771,0.779181985294118,1.17683640610267e-14,4.2366110619696e-13
"mb_shh","mb_wnt",25,12,0.334447678079065,0.446666666666667,0.0309632325337108,0.0428721681235996
"mb_shh","pa",25,68,0.9238871285429,0.735294117647059,6.24179847807937e-08,7.49015817369525e-07
"mb_wnt","pa",12,68,0.589439450463836,0.634803921568627,0.000495640462427893,0.00162209605885492
