group1,group2,n1,n2,median_difference,rank_biserial,p_value,adjusted_p
"group3_alpha","group3_beta",67,37,0.23492529670243,0.397741024606696,0.00082582408665477,0.00181681299064049
"group3_alpha","group3_gamma",67,40,0.180981808894979,0.299253731343284,0.0099150633316154,0.0160660317188453
"group3_alpha","group4_alpha",67,98,0.481173141172596,0.684891867194639,8.72635297355373e-14,1.43984824063637e-12
"group3_alpha","group4_beta",67,109,0.582618560252859,0.801177598247296,0,0
"group3_alpha","group4_gamma",67,119,0.56313613826798,0.774614323341277,0,0
"group3_alpha","shh_alpha",67,65,0.42891848812199,0.526061997703789,1.87156700581781e-07,1.0293618531998e-06
"group3_alpha","shh_beta",67,35,0.250189605930039,0.385501066098081,0.00146042190694451,0.00310928535026895
"group3_alpha","shh_delta",67,76,0.681222888359885,0.785349567949725,6.66133814775094e-16,1.46549439250521e-14
"group3_alpha","shh_gamma",67,47,0.53482185667357,0.590346141632264,8.90437628076057e-08,5.34262576845634e-07
"group3_alpha","wnt_alpha",67,49,0.56776480088171,0.770332013402376,1.60671476123753e-12,2.12086348483354e-11
"group3_alpha","wnt_beta",67,21,0.840976478877179,0.896233120113717,6.95030255570828e-10,7.6453328112791e-09
"group3_beta","group3_gamma",37,40,-0.0539434878074516,-0.0385135135135135,0.775277602327925,0.799505027400672
"group3_beta","group4_alpha",37,98,0.246247844470165,0.416988416988417,0.00019388892732608,0.000492179584750819
"group3_beta","group4_beta",37,109,0.347693263550429,0.616166625340937,2.29981202970464e-08,2.02079234679076e-07
"group3_beta","group4_gamma",37,119,0.32821084156555,0.560754031342267,2.72694993252998e-07,1.38445150420753e-06
"group3_beta","shh_alpha",37,65,0.19399319141956,0.294802494802495,0.0137446077169188,0.0210963746352707
"group3_beta","shh_beta",37,35,0.015264309227609,0.0563706563706563,0.68503730907973,0.717658133321622
"group3_beta","shh_delta",37,76,0.446297591657455,0.648648648648649,2.44944526883728e-08,2.02079234679076e-07
"group3_beta","shh_gamma",37,47,0.29989655997114,0.330649798734905,0.00971151442523044,0.0160660317188453
"group3_beta","wnt_alpha",37,49,0.33283950417928,0.570876999448428,6.49988948198121e-06,2.1449635290538e-05
"group3_beta","wnt_beta",37,21,0.606051182174749,0.791505791505792,6.80033097166799e-07,2.80513652581305e-06
"group3_gamma","group4_alpha",40,98,0.300191332277617,0.416326530612245,0.00012968809329128,0.000356642256551021
"group3_gamma","group4_beta",40,109,0.401636751357881,0.577522935779817,7.01343247921926e-08,4.62886543628471e-07
"group3_gamma","group4_gamma",40,119,0.382154329373002,0.527941176470588,6.1770967718644e-07,2.71792257962034e-06
"group3_gamma","shh_alpha",40,65,0.247936679227012,0.290769230769231,0.0127391325659938,0.0200186368894188
"group3_gamma","shh_beta",40,35,0.0692077970350606,0.0842857142857143,0.534426419265748,0.578231863467859
"group3_gamma","shh_delta",40,76,0.500241079464907,0.618092105263158,4.9206783980793e-08,3.60849749192482e-07
"group3_gamma","shh_gamma",40,47,0.353840047778592,0.361702127659574,0.00383481509175931,0.00723136560160328
"group3_gamma","wnt_alpha",40,49,0.386782991986731,0.551020408163265,8.59819115994753e-06,2.70228865026922e-05
"group3_gamma","wnt_beta",40,21,0.659994669982201,0.797619047619048,3.82402331133846e-07,1.80275384677385e-06
"group4_alpha","group4_beta",98,109,0.101445419080264,0.212600636584909,0.00834643911467281,0.014888242745092
"group4_alpha","group4_gamma",98,119,0.0819629970953848,0.143800377293775,0.0686641975829399,0.0871507123168083
"group4_alpha","shh_alpha",98,65,-0.0522546530506052,-0.0676609105180534,0.466196511887163,0.521507962450047
"group4_alpha","shh_beta",98,35,-0.230983535242556,-0.345189504373178,0.00250813685160404,0.00501627370320807
"group4_alpha","shh_delta",98,76,0.20004974718729,0.303974221267454,0.000596376363797946,0.00140574428609516
"group4_alpha","shh_gamma",98,47,0.0536487155009748,-0.0151975683890577,0.884128161646624,0.897730133364265
"group4_alpha","wnt_alpha",98,49,0.0865916597091143,0.194502290712203,0.0552496844769073,0.0744179423566506
"group4_alpha","wnt_beta",98,21,0.359803337704584,0.526724975704568,0.000160237569488242,0.000423027183448959
"group4_beta","group4_gamma",109,119,-0.019482421984879,-0.0713129288412613,0.353096424032396,0.401799379071347
"group4_beta","shh_alpha",109,65,-0.153700072130869,-0.245730416372618,0.00679798144364283,0.0124629659800119
"group4_beta","shh_beta",109,35,-0.33242895432282,-0.520314547837484,3.8316034513787e-06,1.33097804100523e-05
"group4_beta","shh_delta",109,76,0.0986043281070259,0.123611781747948,0.153450742308679,0.180852660578086
"group4_beta","shh_gamma",109,47,-0.047796703579289,-0.188951786062854,0.0618218707715822,0.0800047739396947
"group4_beta","wnt_alpha",109,49,-0.0148537593711495,-0.00954877363789553,0.925127507336148,0.925127507336148
"group4_beta","wnt_beta",109,21,0.25835791862432,0.361293141109655,0.00898409018328428,0.0156039461078095
"group4_gamma","shh_alpha",119,65,-0.13421765014599,-0.193665158371041,0.0301938958786252,0.0433216766954188
"group4_gamma","shh_beta",119,35,-0.312946532337941,-0.47515006002401,2.00831521116247e-05,6.02494563348741e-05
"group4_gamma","shh_delta",119,76,0.118086750091905,0.179898275099514,0.0344039457208161,0.0473054253661221
"group4_gamma","shh_gamma",119,47,-0.02831428159441,-0.143214732701591,0.151646343745714,0.180852660578086
"group4_gamma","wnt_alpha",119,49,0.00462866261372952,0.0619104784771052,0.52991999547926,0.578231863467859
"group4_gamma","wnt_beta",119,21,0.277840340609199,0.398959583833533,0.00365833576561059,0.00710147530971467
"shh_alpha","shh_beta",65,35,-0.178728882191951,-0.230769230769231,0.0583057648038942,0.0769636095411403
"shh_alpha","shh_delta",65,76,0.252304400237895,0.33421052631579,0.000644354074686104,0.00146646099756148
"shh_alpha","shh_gamma",65,47,0.10590336855158,0.0504091653027823,0.651964497798199,0.694026723462599
