group,n,mean,median,iqr
"group3_alpha",67,9.50382914587995,9.5274770060604,0.320468316525771
"group3_beta",37,9.29412873418148,9.29255170935797,0.392191547438111
"group3_gamma",40,9.34240568984421,9.34649519716542,0.539564257919629
"group4_alpha",98,9.04531622106422,9.0463038648878,0.45440443659564
"group4_beta",109,8.92120205508856,8.94485844580754,0.451897615344889
"group4_gamma",119,8.95411952914793,8.96434086779242,0.418548697186289
"shh_alpha",65,9.1205409212712,9.09855851793841,0.512184500263091
"shh_beta",35,9.26964767643933,9.27728740013036,0.471637447307341
"shh_delta",76,8.86037030607082,8.84625411770051,0.452742520644897
"shh_gamma",47,9.07189205254377,8.99265514938683,0.637018439341034
"wnt_alpha",49,8.92532050292691,8.95971220517869,0.476654207177521
"wnt_beta",21,8.71119948431453,8.68650052718322,0.424026282506091
