ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-000001","NIH:OVCAR-3","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC",-0.514396130375087,FALSE,"SLC2A1"
"ACH-000002","HL-60","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",NA,FALSE,"SLC2A1"
"ACH-000003","CACO2","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",NA,FALSE,"SLC2A1"
"ACH-000004","HEL","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",-0.291889900662878,FALSE,"SLC2A1"
"ACH-000005","HEL 92.1.7","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",-0.205265451013214,FALSE,"SLC2A1"
"ACH-000006","MONO-MAC-6","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","AMOL",NA,FALSE,"SLC2A1"
"ACH-000007","LS513","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",-0.659154614255146,FALSE,"SLC2A1"
"ACH-000008","A101D","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"SLC2A1"
"ACH-000009","C2BBe1","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",-0.343401978198097,FALSE,"SLC2A1"
"ACH-000011","253J","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",0.110455413157223,FALSE,"SLC2A1"
"ACH-000012","HCC-827","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.85708077131595,FALSE,"SLC2A1"
"ACH-000013","ONCO-DG-1","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC",-0.150679075523548,FALSE,"SLC2A1"
"ACH-000014","Hs 294T","Skin","Melanoma","Melanoma","MEL",-0.169331268726484,FALSE,"SLC2A1"
"ACH-000015","NCI-H1581","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","LCLC",-0.140994839545564,FALSE,"SLC2A1"
"ACH-000016","SLR 21","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC",NA,FALSE,"SLC2A1"
"ACH-000017","SK-BR-3","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA",0.0095669588884647,FALSE,"SLC2A1"
"ACH-000018","T24","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",-0.357914244674697,FALSE,"SLC2A1"
"ACH-000019","MCF7","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA",-0.379409810677315,FALSE,"SLC2A1"
"ACH-000020","MHH-CALL-2","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy","BLLHYPO",NA,FALSE,"SLC2A1"
"ACH-000021","NCI-H1693","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.0561544665688641,FALSE,"SLC2A1"
"ACH-000022","PA-TU-8988S","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",-0.125719819060837,FALSE,"SLC2A1"
"ACH-000023","PA-TU-8988T","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",-0.336056054220221,FALSE,"SLC2A1"
"ACH-000024","OPM-2","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",-1.33642940790273,FALSE,"SLC2A1"
"ACH-000025","CH-157MN","CNS/Brain","Meningothelial Tumor","Meningioma","MNG",-0.467488977619712,FALSE,"SLC2A1"
"ACH-000026","253J-BV","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",-0.406682339864039,FALSE,"SLC2A1"
"ACH-000027","GOS-3","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",NA,FALSE,"SLC2A1"
"ACH-000028","KPL-1","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA",-0.594670807787727,FALSE,"SLC2A1"
"ACH-000029","HCC-827-GR5","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.515004681420874,FALSE,"SLC2A1"
"ACH-000030","PC-14","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.260726060259167,FALSE,"SLC2A1"
"ACH-000031","Panc 02.13","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",NA,FALSE,"SLC2A1"
"ACH-000032","MHH-CALL-3","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1","BLLTCF3PBX1",NA,FALSE,"SLC2A1"
"ACH-000033","NCI-H1819","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"SLC2A1"
"ACH-000034","PLB-985","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",NA,FALSE,"SLC2A1"
"ACH-000035","NCI-H1650","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","NSCLC",-0.281837298265695,FALSE,"SLC2A1"
"ACH-000036","U343","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",-1.22746751086491,FALSE,"SLC2A1"
"ACH-000037","S-117","Soft Tissue","Sarcoma, NOS","Sarcoma, NOS","SARCNOS",-0.271305759069323,FALSE,"SLC2A1"
"ACH-000038","EHEB","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","BLL",NA,FALSE,"SLC2A1"
"ACH-000039","SK-N-MC","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-1.02529699238859,FALSE,"SLC2A1"
"ACH-000040","U-118 MG","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR",-0.376326972504123,FALSE,"SLC2A1"
"ACH-000041","RD-ES","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-0.364398862400806,FALSE,"SLC2A1"
