library,term,set_size,evidence
"GO_Biological_Process_2026","Carboxylic Acid Metabolic Process (GO:0019752)",44,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Cellular Component Assembly (GO:0022607)",399,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Central Nervous System Development (GO:0007417)",294,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","D-glucose Import Across Plasma Membrane (GO:0098708)",22,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","D-glucose Transmembrane Transport (GO:1904659)",25,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Dehydroascorbic Acid Transport (GO:0070837)",13,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Fatty Acid Transmembrane Transport (GO:1902001)",9,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Hexose Import Across Plasma Membrane (GO:0140271)",18,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Hexose Transmembrane Transport (GO:0008645)",23,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","L-ascorbic Acid Metabolic Process (GO:0019852)",7,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Long-chain Fatty Acid Import Into Cell (GO:0044539)",11,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Monosaccharide Metabolic Process (GO:0005996)",9,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Nervous System Development (GO:0007399)",531,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Organic Anion Transport (GO:0015711)",117,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Protein-containing Complex Assembly (GO:0065003)",339,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Protein-containing Complex Organization (GO:0043933)",126,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Response to Insulin (GO:0032868)",82,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Response to Peptide Hormone (GO:0043434)",57,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Transport Across Blood-Brain Barrier (GO:0150104)",88,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Vascular Transport (GO:0010232)",86,"Annotated gene membership; not enrichment or pathway activity"
"GO_Biological_Process_2026","Vitamin Transport (GO:0051180)",44,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Cellular Hexose Transport",22,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Disease",2131,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Disorders of Transmembrane Transporters",164,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Integration of Energy Metabolism",108,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Metabolism",2181,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Metabolism of Carbohydrates",290,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Metabolism of Vitamins and Cofactors",198,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Metabolism of Water-Soluble Vitamins and Cofactors",127,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Regulation of Insulin Secretion",78,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","SLC Transporter Disorders",99,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","SLC-mediated Transmembrane Transport",249,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Transport of Small Molecules",724,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Vitamin C (Ascorbate) Metabolism",8,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Adipocytokine signaling pathway",69,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Bile secretion",90,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Central carbon metabolism in cancer",70,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Diabetic cardiomyopathy",203,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Glucagon signaling pathway",107,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","HIF-1 signaling pathway",109,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Human T-cell leukemia virus 1 infection",219,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Insulin resistance",108,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Insulin secretion",86,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Pathways in cancer",531,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Renal cell carcinoma",69,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Thyroid hormone signaling pathway",121,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Warburg Effect Mod By Deubiquitinating Enzymes And Substrates WP5216",26,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","GLP 1 From Intestine And Pancreas Role In Glucose Homeostasis WP5452",6,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Amino Acid Metabolism In Triple Negative Breast Cancer Cells WP5213",7,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","NAD Metab In Oncogene Induced And Mt Dysfunction Senescence WP5046",22,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Hereditary Leiomyomatosis And Renal Cell Carcinoma Pathway WP4206",20,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Glucose Metabolism In Triple Negative Breast Cancer Cells WP5211",8,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Photodynamic Therapy Induced HIF 1 Survival Signaling WP3614",37,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Chronic Hyperglycemia Impairment Of Neuron Function WP5283",46,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Angiopoietin Like Protein 8 Regulatory Pathway WP3915",132,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Neuroinflammation And Glutamatergic Signaling WP5083",140,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Metabolic Reprogramming In Pancreatic Cancer WP5220",42,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Macrophage Stimulating Protein MSP Signaling WP5353",108,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Clear Cell Renal Cell Carcinoma Pathways WP4018",85,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","HIF1A And PPARG In Cardiac Hypertropthy WP2456",9,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Metabolic Reprogramming In Colon Cancer WP4290",42,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Focal Adhesion PI3K Akt mTOR Signaling WP3932",303,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Type 2 Papillary Renal Cell Carcinoma WP4241",34,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Metabolic Pathways Of Fibroblasts WP5312",32,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","P53 Transcriptional Gene Network WP4963",91,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","GLP 1 In Pancreatic Islet Cells WP5447",7,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Nuclear Receptors Meta Pathway WP2882",314,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Lactate Shuttle In Glial Cells WP5314",13,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Glycolysis And Gluconeogenesis WP534",45,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Metabolic Epileptic Disorders WP5355",92,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Aerobic Glycolysis Augmented WP4628",13,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","15Q25 Copy Number Variation WP5408",45,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Pancreatic Cancer Subtypes WP5390",48,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Ketogenesis And Ketolysis WP4742",8,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Proximal Tubule Transport WP4917",57,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Orexin Receptor Pathway WP5094",88,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Pleural Mesothelioma WP5087",437,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Aerobic Glycolysis WP4629",12,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Insulin Signaling WP481",160,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Cancer Pathways WP5434",507,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","CAMKK2 Pathway WP4874",110,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","NRF2 Pathway WP2884",141,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Cori Cycle WP1946",17,"Annotated gene membership; not enrichment or pathway activity"
