group1,group2,n1,n2,median_difference,rank_biserial,p_value,adjusted_p
"atrt","etmr",10,4,-0.136828609856931,-0.2,0.62061794643769,0.730288794564708
"atrt","hgg_k27m",10,9,0.0436254740069284,-0.222222222222222,0.437942822899974,0.554264122843809
"atrt","hggother",10,17,0.0993887455289375,0.117647058823529,0.633368086805562,0.730288794564708
"atrt","mb_group3",10,37,0.364502041850008,0.291891891891892,0.16432664733812,0.26889815018965
"atrt","mb_group4",10,64,0.384354387253312,0.253125,0.20307972786992,0.315735598520531
"atrt","mb_shh",10,25,0.621243329566172,0.488,0.0271643728230104,0.0778847389240198
"atrt","mb_wnt",10,12,0.745800936723931,0.45,0.0805752139581355,0.161150427916271
"atrt","pa",10,68,0.667104543654891,0.475,0.0161139941217687,0.0644559764870749
"etmr","hgg_k27m",4,9,0.180454083863859,-0.0555555555555556,0.938502884778471,0.961185132057305
"etmr","hggother",4,17,0.236217355385868,0.264705882352941,0.446490543401957,0.554264122843809
"etmr","mb_group3",4,37,0.501330651706939,0.391891891891892,0.210490399013688,0.315735598520531
"etmr","mb_group4",4,64,0.521182997110243,0.34375,0.256875116970195,0.355673238881808
"etmr","mb_shh",4,25,0.758071939423102,0.5,0.121257715451642,0.229751460855742
"etmr","mb_wnt",4,12,0.882629546580862,0.5,0.163142576725968,0.26889815018965
"etmr","pa",4,68,0.803933153511822,0.558823529411765,0.0634430739702727,0.134350038995872
"hgg_k27m","hggother",9,17,0.0557632715220091,0.34640522875817,0.161119316337432,0.26889815018965
"hgg_k27m","mb_group3",9,37,0.320876567843079,0.546546546546546,0.0122104659312199,0.0549470966904895
"hgg_k27m","mb_group4",9,64,0.340728913246384,0.475694444444445,0.022001747727753,0.0720057198362825
"hgg_k27m","mb_shh",9,25,0.577617855559243,0.733333333333333,0.00136974234241616,0.0164369081089939
"hgg_k27m","mb_wnt",9,12,0.702175462717003,0.796296296296296,0.00252488169629506,0.0227239352666555
"hgg_k27m","pa",9,68,0.623479069647963,0.73202614379085,0.000394663293881825,0.00884150359896729
"hggother","mb_group3",17,37,0.26511329632107,0.200317965023847,0.244403081763444,0.35194043773936
"hggother","mb_group4",17,64,0.284965641724375,0.141544117647059,0.374958472964007,0.499944630618677
"hggother","mb_shh",17,25,0.521854584037234,0.423529411764706,0.0218180760903013,0.0720057198362825
"hggother","mb_wnt",17,12,0.646412191194994,0.431372549019608,0.0540778611243302,0.132883779015962
"hggother","pa",17,68,0.567715798125954,0.428200692041522,0.00665340787586555,0.0374280890040673
"mb_group3","mb_group4",37,64,0.0198523454033044,-0.0422297297297297,0.727161259477598,0.793266828521016
"mb_group3","mb_shh",37,25,0.256741287716164,0.331891891891892,0.0281250446114516,0.0778847389240198
"mb_group3","mb_wnt",37,12,0.381298894873924,0.364864864864865,0.0612637655552437,0.134350038995872
"mb_group3","pa",37,68,0.302602501804883,0.333863275039746,0.00489377404661662,0.0352351731356396
"mb_group4","mb_shh",64,25,0.236888942312859,0.368125,0.00727768397301309,0.0374280890040673
"mb_group4","mb_wnt",64,12,0.361446549470619,0.3515625,0.0553682412566507,0.132883779015962
"mb_group4","pa",64,68,0.282750156401579,0.352022058823529,0.000491194644387072,0.00884150359896729
"mb_shh","mb_wnt",25,12,0.12455760715776,0.0133333333333334,0.961185132057305,0.961185132057305
"mb_shh","pa",25,68,0.0458612140887196,0.0623529411764705,0.64914559516863,0.730288794564708
"mb_wnt","pa",12,68,-0.0786963930690403,0.0490196078431373,0.79274445763285,0.83937648455243
