group1,group2,n1,n2,median_difference,rank_biserial,p_value,adjusted_p
"group3_alpha","group3_beta",67,37,0.13134180261364,0.27793465106898,0.0195058375463957,0.0347941967043815
"group3_alpha","group3_gamma",67,40,0.371735094534399,0.434328358208955,0.000180943642493547,0.000597114020228706
"group3_alpha","group4_alpha",67,98,0.500645598244779,0.60798050563509,3.56230600573326e-11,3.3587456625485e-10
"group3_alpha","group4_beta",67,109,0.535236096632749,0.627961111871834,2.84972045960785e-12,6.26938501113727e-11
"group3_alpha","group4_gamma",67,119,0.30389368410037,0.4483883105481,3.98393409595244e-07,2.19116375277384e-06
"group3_alpha","shh_alpha",67,65,0.666740879761239,0.678071182548794,1.83901782691009e-11,2.42750353152132e-10
"group3_alpha","shh_beta",67,35,0.715186101726779,0.80724946695096,2.59416932379963e-11,2.8535862561796e-10
"group3_alpha","shh_delta",67,76,0.894371291680249,0.890023566378633,0,0
"group3_alpha","shh_gamma",67,47,0.184631701489529,0.358844077484916,0.00115594282184972,0.00305168904968326
"group3_alpha","wnt_alpha",67,49,0.42059985565219,0.594882729211087,4.89129448055792e-08,3.22825435716823e-07
"group3_alpha","wnt_beta",67,21,0.439652598249999,0.530206112295665,0.000265831769683755,0.000825899291644433
"group3_beta","group3_gamma",37,40,0.240393291920759,0.218918918918919,0.0996404979436365,0.142962453571305
"group3_beta","group4_alpha",37,98,0.369303795631138,0.395752895752896,0.000404781000676868,0.00116154548020319
"group3_beta","group4_beta",37,109,0.403894294019109,0.423258120505827,0.000124208730808872,0.000431461907020294
"group3_beta","group4_gamma",37,119,0.172551881486729,0.192823075176016,0.0772985717797494,0.115947857669624
"group3_beta","shh_alpha",37,65,0.535399077147599,0.485239085239085,4.95498137991213e-05,0.000181682650596778
"group3_beta","shh_beta",37,35,0.583844299113139,0.653281853281853,1.93371754164673e-06,9.11609698204887e-06
"group3_beta","shh_delta",37,76,0.763029489066609,0.721906116642959,5.39970068658136e-10,4.45475306642962e-09
"group3_beta","shh_gamma",37,47,0.0532898988758888,0.127084531339851,0.321624524065051,0.408215742082565
"group3_beta","wnt_alpha",37,49,0.28925805303855,0.362382790954219,0.00422393676347133,0.00929266087963692
"group3_beta","wnt_beta",37,21,0.308310795636359,0.359073359073359,0.0245170653319429,0.042582271366006
"group3_gamma","group4_alpha",40,98,0.128910503710379,0.103571428571429,0.341953748616951,0.42582919639092
"group3_gamma","group4_beta",40,109,0.16350100209835,0.078211009174312,0.466490766115174,0.540147202870201
"group3_gamma","group4_gamma",40,119,-0.0678414104340295,-0.0680672268907563,0.521482117841352,0.59341068581947
"group3_gamma","shh_alpha",40,65,0.29500578522684,0.273846153846154,0.0189863915107364,0.0347941967043815
"group3_gamma","shh_beta",40,35,0.34345100719238,0.416428571428571,0.00199881393242407,0.00507391228999956
"group3_gamma","shh_delta",40,76,0.52263619714585,0.53421052631579,2.43421011369982e-06,1.07105245002792e-05
"group3_gamma","shh_gamma",40,47,-0.18710339304487,-0.0787234042553191,0.531328794745922,0.594367804292049
"group3_gamma","wnt_alpha",40,49,0.048864761117791,0.11530612244898,0.353467557458385,0.432015903560248
"group3_gamma","wnt_beta",40,21,0.0679175037156004,0.133333333333333,0.399531791854801,0.470876754686016
"group4_alpha","group4_beta",98,109,0.0345904983879706,-0.0282718592023966,0.726519230291169,0.786069986872412
"group4_alpha","group4_gamma",98,119,-0.196751914144409,-0.218916137883725,0.00556759652139662,0.011817339706198
"group4_alpha","shh_alpha",98,65,0.16609528151646,0.198273155416013,0.0324682043799449,0.0536597271446566
"group4_alpha","shh_beta",98,35,0.214540503482001,0.342274052478134,0.00272814032663371,0.00666878746510463
"group4_alpha","shh_delta",98,76,0.393725693435471,0.498657357679914,1.76995471612429e-08,1.29796679182448e-07
"group4_alpha","shh_gamma",98,47,-0.31601389675525,-0.217976552323057,0.0341344041375771,0.0549480651970754
"group4_alpha","wnt_alpha",98,49,-0.0800457425925885,0.0120783007080383,0.906772627449562,0.933636353658341
"group4_alpha","wnt_beta",98,21,-0.0609929999947791,0.0145772594752187,0.919490348299881,0.933636353658341
"group4_beta","group4_gamma",109,119,-0.23134241253238,-0.219720915889292,0.00419409747615484,0.00929266087963692
"group4_beta","shh_alpha",109,65,0.13150478312849,0.246436132674665,0.00664040768185603,0.0132808153637121
"group4_beta","shh_beta",109,35,0.17995000509403,0.381389252948886,0.000709056677238085,0.00194990586240473
"group4_beta","shh_delta",109,76,0.3591351950475,0.583655239014969,1.52873269598786e-11,2.42750353152132e-10
"group4_beta","shh_gamma",109,47,-0.35060439514322,-0.216279523716572,0.0325210467543373,0.0536597271446566
"group4_beta","wnt_alpha",109,49,-0.114636240980559,0.0254633963677213,0.799697964258086,0.851291381306995
