group,n,mean,median,iqr
"group3_alpha",67,9.89384327942483,9.842664621825,0.622301876144231
"group3_beta",37,9.62203561374945,9.71132281921136,0.572829457029279
"group3_gamma",40,9.4959598619082,9.4709295272906,0.775839861724393
"group4_alpha",98,9.36047903998961,9.34201902358022,0.565302330741801
"group4_beta",109,9.37753202168382,9.30742852519225,0.449543616008171
"group4_gamma",119,9.52315883391252,9.53877093772463,0.535713469273109
"shh_alpha",65,9.21765943693356,9.17592374206376,0.647815410240359
"shh_beta",35,9.0700970418998,9.12747852009822,0.556065191008225
"shh_delta",76,8.99090289143459,8.94829333014475,0.410588922966262
"shh_gamma",47,9.56563670284575,9.65803292033547,0.752021001138544
"wnt_alpha",49,9.32104290580515,9.42206476617281,0.657335064266889
"wnt_beta",21,9.33298092758274,9.403012023575,0.91458452241868
