subtype_a,subtype_b,n_a,n_b,test,statistic,df,median_difference,rank_biserial,direction,p_value,adjusted_p_value
"wnt_alpha","wnt_beta",49,21,"Wilcoxon rank sum test with continuity correction",442.5,NA,-0.0824621601919695,-0.139941690962099,"A lower rank tendency",0.359459879707829,0.416216702819592
"wnt_alpha","shh_alpha",49,65,"Wilcoxon rank sum test with continuity correction",1110.5,NA,-0.15775028749621,-0.302668759811617,"A lower rank tendency",0.00584944089785052,0.0104341378177874
"wnt_alpha","shh_beta",49,35,"Wilcoxon rank sum test with continuity correction",789,NA,-0.10799725229911,-0.0798833819241983,"A lower rank tendency",0.537218962596802,0.581253303793262
"wnt_alpha","shh_gamma",49,47,"Wilcoxon rank sum test with continuity correction",1072.5,NA,-0.0476967420312997,-0.0686061658706035,"A lower rank tendency",0.565036369306987,0.599884947917479
"wnt_alpha","shh_delta",49,76,"Wilcoxon rank sum test with continuity correction",1185,NA,-0.22930123178367,-0.36358754027927,"A lower rank tendency",0.000623276495963872,0.0013269757656005
"wnt_alpha","group3_alpha",49,67,"Wilcoxon rank sum test with continuity correction",1045.5,NA,-0.224123309415559,-0.363082546451416,"A lower rank tendency",0.000872938371374076,0.00180043539095903
"wnt_alpha","group3_beta",49,37,"Wilcoxon rank sum test with continuity correction",177,NA,-2.23575279949748,-0.804743519029233,"A lower rank tendency",2.03518116804843e-10,8.39512231819979e-10
"wnt_alpha","group3_gamma",49,40,"Wilcoxon rank sum test with continuity correction",60,NA,-3.84144128462644,-0.938775510204082,"A lower rank tendency",3.35048204997571e-14,2.49809828151378e-13
"wnt_alpha","group4_alpha",49,98,"Wilcoxon rank sum test with continuity correction",2631.5,NA,0.0306349404554149,0.0960016659725114,"A higher rank tendency",0.344593709276251,0.406128300218439
"wnt_alpha","group4_beta",49,109,"Wilcoxon rank sum test with continuity correction",3262.5,NA,0.0746388008927506,0.221681333083692,"A higher rank tendency",0.0261732051494281,0.0401728265084245
"wnt_alpha","group4_gamma",49,119,"Wilcoxon rank sum test with continuity correction",3343.5,NA,0.0587674082498699,0.146801577773967,"A higher rank tendency",0.135738067385393,0.175661028381097
"wnt_beta","shh_alpha",21,65,"Wilcoxon rank sum test with continuity correction",612.5,NA,-0.0752881273042405,-0.102564102564103,"A lower rank tendency",0.484764551478793,0.542278989789836
"wnt_beta","shh_beta",21,35,"Wilcoxon rank sum test with continuity correction",393,NA,-0.0255350921071402,0.0693877551020408,"A higher rank tendency",0.67218074566639,0.682521987907412
"wnt_beta","shh_gamma",21,47,"Wilcoxon rank sum test with continuity correction",536.5,NA,0.0347654181606698,0.0871327254305978,"A higher rank tendency",0.572617450284867,0.599884947917479
