subtype_a,subtype_b,n_a,n_b,test,statistic,df,median_difference,rank_biserial,direction,p_value,adjusted_p_value
"wnt_alpha","wnt_beta",49,21,"Wilcoxon rank sum exact test",607,NA,0.185111405256981,0.179786200194364,"A higher rank tendency",0.240449054607919,0.268976908544452
"wnt_alpha","shh_alpha",49,65,"Wilcoxon rank sum test with continuity correction",3185,NA,3.47122942420382,1,"A higher rank tendency",0,0
"wnt_alpha","shh_beta",49,35,"Wilcoxon rank sum test with continuity correction",1702,NA,3.363649537004,0.984839650145773,"A higher rank tendency",1.88737914186277e-14,6.92039018683014e-14
"wnt_alpha","shh_gamma",49,47,"Wilcoxon rank sum test with continuity correction",2296,NA,3.07492848750656,0.993920972644377,"A higher rank tendency",0,0
"wnt_alpha","shh_delta",49,76,"Wilcoxon rank sum test with continuity correction",3721,NA,3.17497824466747,0.998388829215897,"A higher rank tendency",0,0
"wnt_alpha","group3_alpha",49,67,"Wilcoxon rank sum test with continuity correction",2997.5,NA,1.9935799476253,0.826073713067317,"A higher rank tendency",3.5527136788005e-14,1.22368781774185e-13
"wnt_alpha","group3_beta",49,37,"Wilcoxon rank sum exact test",918,NA,0.0971996158029604,0.0126861555432984,"A higher rank tendency",0.923974293637142,0.938189282770021
"wnt_alpha","group3_gamma",49,40,"Wilcoxon rank sum exact test",290,NA,-1.2974336320369,-0.704081632653061,"A lower rank tendency",1.38303965582461e-09,2.76607931164921e-09
"wnt_alpha","group4_alpha",49,98,"Wilcoxon rank sum test with continuity correction",4330,NA,3.4345216016445,0.80341524364848,"A higher rank tendency",2.22044604925031e-15,1.12730337885016e-14
"wnt_alpha","group4_beta",49,109,"Wilcoxon rank sum test with continuity correction",5298,NA,3.52174469545807,0.983898146414529,"A higher rank tendency",0,0
"wnt_alpha","group4_gamma",49,119,"Wilcoxon rank sum test with continuity correction",5631,NA,2.99024166220007,0.931401131881324,"A higher rank tendency",0,0
"wnt_beta","shh_alpha",21,65,"Wilcoxon rank sum test with continuity correction",1361,NA,3.28611801894684,0.994139194139194,"A higher rank tendency",9.38449318255152e-12,2.4775062001936e-11
"wnt_beta","shh_beta",21,35,"Wilcoxon rank sum test with continuity correction",721,NA,3.17853813174702,0.961904761904762,"A higher rank tendency",2.30845453863537e-09,4.48111763382161e-09
"wnt_beta","shh_gamma",21,47,"Wilcoxon rank sum test with continuity correction",963,NA,2.88981708224958,0.951367781155015,"A higher rank tendency",4.79572825895502e-10,1.05506021697011e-09
"wnt_beta","shh_delta",21,76,"Wilcoxon rank sum test with continuity correction",1569,NA,2.98986683941049,0.966165413533835,"A higher rank tendency",1.48798751098411e-11,3.77719906634428e-11
"wnt_beta","group3_alpha",21,67,"Wilcoxon rank sum test with continuity correction",1190,NA,1.80846854236832,0.691542288557214,"A higher rank tendency",1.95941006819744e-06,3.22790661592602e-06
"wnt_beta","group3_beta",21,37,"Wilcoxon rank sum exact test",348,NA,-0.0879117894540205,-0.104247104247104,"A lower rank tendency",0.520673197962051,0.563351328942547
"wnt_beta","group3_gamma",21,40,"Wilcoxon rank sum exact test",134,NA,-1.48254503729388,-0.680952380952381,"A lower rank tendency",4.64168440973316e-06,7.17348413247298e-06
"wnt_beta","group4_alpha",21,98,"Wilcoxon rank sum test with continuity correction",1837,NA,3.24941019638752,0.785228377065112,"A higher rank tendency",1.81296861967439e-08,3.23394402428405e-08
"wnt_beta","group4_beta",21,109,"Wilcoxon rank sum test with continuity correction",2262,NA,3.33663329020109,0.976408912188729,"A higher rank tendency",1.59161572810262e-12,4.56724513281623e-12
"wnt_beta","group4_gamma",21,119,"Wilcoxon rank sum test with continuity correction",2339,NA,2.80513025694309,0.871948779511805,"A higher rank tendency",2.08194794737437e-10,4.73822636298996e-10
"shh_alpha","shh_beta",65,35,"Wilcoxon rank sum test with continuity correction",1098.5,NA,-0.10757988719982,-0.0342857142857143,"A lower rank tendency",0.780830720712402,0.805231680734664
