subtype,subgroup,annotated_n,n,mean,median,sd,variance,iqr,min,max,unique_values
"wnt_alpha","wnt",49,49,5.61281143354811,5.57288966842058,0.287069463556864,0.0824088769068258,0.403191256430739,5.00898878322726,6.43295940727611,46
"wnt_beta","wnt",21,21,5.90067688100031,5.65535182861255,0.814301341706194,0.663086675104507,0.41001942451222,5.24031432933371,8.81153525163608,21
"shh_alpha","shh",65,65,5.78524612126418,5.73063995591679,0.34255298176396,0.11734254531538,0.39447617679653,5.08746284125034,6.73741636593706,62
"shh_beta","shh",35,35,5.64224984494984,5.68088692071969,0.239441033656036,0.057332008598271,0.316190636560225,5.19770815795585,6.09803208296053,30
"shh_gamma","shh",47,47,5.64573870198057,5.62058641045188,0.283514179687798,0.0803802900840449,0.345561635930845,5.15380533607904,6.58496250072116,44
"shh_delta","shh",76,76,5.8065394926478,5.80219090020425,0.310272018572528,0.0962687255090708,0.397745748297076,5.1333991254172,6.58044701959866,68
"group3_alpha","group3",67,67,5.95472072096793,5.79701297783614,0.610164703308444,0.372300965163481,0.522142066348371,5.03121873061072,7.99661471481536,64
"group3_beta","group3",37,37,7.74556235606057,7.80864246791806,1.64215730767767,2.69668062315916,2.84407653718361,5.35755200461808,10.6421419713949,37
"group3_gamma","group3",40,40,9.08769482846263,9.41433095304702,1.57022135952096,2.46559511789584,1.46101350858751,5.54843662469604,11.4228531959443,40
"group4_alpha","group4",98,98,5.58556403867218,5.54225472796517,0.36304996844498,0.131805279587901,0.296638668835977,5.00450139223494,7.84172158112846,88
"group4_beta","group4",109,109,5.5056974953953,5.49825086752783,0.231418852089011,0.0535546851021954,0.26362218137294,4.97269265400426,6.40599235967584,83
"group4_gamma","group4",119,119,5.55655555058177,5.51412226017071,0.323352164460717,0.10455662226143,0.321225198718786,5.06608919045777,7.34695688937889,102
