subtype,subgroup,annotated_n,n,mean,median,sd,variance,iqr,min,max,unique_values
"wnt_alpha","wnt",49,49,8.96661861221342,9.01038823531185,0.557506528586063,0.310813529416083,0.5637468767057,7.33181268381921,10.4192228460108,49
"wnt_beta","wnt",21,21,8.72151670933075,8.82527683005487,1.01337713149476,1.02693321063654,0.794922644285199,6.5077946401987,10.8617072865859,21
"shh_alpha","shh",65,65,5.6236933062877,5.53915881110803,0.484866756570923,0.235095771627606,0.66825284408219,4.69488019279919,7.11997860965488,61
"shh_beta","shh",35,35,5.77678002531247,5.64673869830785,0.77728723290355,0.604175442434857,0.66761786819307,5.03562390973072,8.64457735701838,33
"shh_gamma","shh",47,47,6.11684371807113,5.93545974780529,0.683058637883156,0.466569102786792,0.764580713703776,5.1168637576909,8.08533966935737,46
"shh_delta","shh",76,76,5.8791399239586,5.83540999064438,0.714495688670922,0.510504089129335,0.815576211201445,4.41953889151378,7.7820153350042,71
"group3_alpha","group3",67,67,7.09621028824463,7.01680828768655,1.21003126646343,1.4641756658191,1.94977910860724,4.5909612413426,9.46270675067016,67
"group3_beta","group3",37,37,8.82948688561883,8.91318861950889,1.28473760333012,1.65055070941043,1.56087022881957,5.25550073314839,11.5917093331617,37
"group3_gamma","group3",40,40,10.089085316738,10.3078218673488,1.22156852690933,1.49222966593542,1.23613418549664,6.01569380710515,11.8637991037288,40
"group4_alpha","group4",98,98,6.09679996731736,5.57586663366736,1.51187239160027,2.28575812848313,1.08937662033894,4.41278152533848,11.1141327345777,89
"group4_beta","group4",109,109,5.56771327657125,5.48864353985378,0.697440940939381,0.486423866098409,0.77725289026819,4.41278152533848,9.39381944794399,101
"group4_gamma","group4",119,119,6.30063169720132,6.02014657311178,1.05878934749837,1.12103488237603,1.18113525936775,4.88752527074159,10.3056057895854,116
