subtype_a,subtype_b,n_a,n_b,test,statistic,df,median_difference,rank_biserial,direction,p_value,adjusted_p_value
"wnt_alpha","wnt_beta",49,21,"Wilcoxon rank sum exact test",528,NA,0.0190527425978093,0.0262390670553936,"A higher rank tendency",0.868732873660836,0.910101105739924
"wnt_alpha","shh_alpha",49,65,"Wilcoxon rank sum test with continuity correction",1846,NA,0.246141024109049,0.159183673469388,"A higher rank tendency",0.147580738766569,0.202923515804032
"wnt_alpha","shh_beta",49,35,"Wilcoxon rank sum exact test",1127,NA,0.294586246074589,0.314285714285714,"A higher rank tendency",0.0141017587776427,0.0273740023330711
"wnt_alpha","shh_gamma",49,47,"Wilcoxon rank sum test with continuity correction",896,NA,-0.235968154162661,-0.221884498480243,"A lower rank tendency",0.0616287188230593,0.0945929172633003
"wnt_alpha","shh_delta",49,76,"Wilcoxon rank sum test with continuity correction",2676,NA,0.473771436028059,0.437164339419978,"A higher rank tendency",3.88939380151498e-05,0.000150999994647052
"wnt_alpha","group3_alpha",49,67,"Wilcoxon rank sum test with continuity correction",665,NA,-0.42059985565219,-0.594882729211087,"A lower rank tendency",4.89129448639631e-08,3.22825436102157e-07
"wnt_alpha","group3_beta",49,37,"Wilcoxon rank sum test with continuity correction",578,NA,-0.28925805303855,-0.36238279095422,"A lower rank tendency",0.00422393676347142,0.00929266087963713
"wnt_alpha","group3_gamma",49,40,"Wilcoxon rank sum exact test",867,NA,-0.048864761117791,-0.11530612244898,"A lower rank tendency",0.355249588535909,0.434193941543889
"wnt_alpha","group4_alpha",49,98,"Wilcoxon rank sum test with continuity correction",2372,NA,0.0800457425925885,-0.0120783007080383,"A lower rank tendency",0.906772627449562,0.933636353658341
"wnt_alpha","group4_beta",49,109,"Wilcoxon rank sum test with continuity correction",2602.5,NA,0.114636240980559,-0.0254633963677214,"A lower rank tendency",0.799697964258086,0.851291381306995
"wnt_alpha","group4_gamma",49,119,"Wilcoxon rank sum test with continuity correction",2333,NA,-0.116706171551821,-0.199794203395644,"A lower rank tendency",0.042259781252557,0.0664082276825896
"wnt_beta","shh_alpha",21,65,"Wilcoxon rank sum test with continuity correction",769,NA,0.227088281511239,0.126739926739927,"A higher rank tendency",0.387315330141638,0.464778396169965
"wnt_beta","shh_beta",21,35,"Wilcoxon rank sum exact test",469,NA,0.27553350347678,0.276190476190476,"A higher rank tendency",0.0874616484567612,0.12827708440325
"wnt_beta","shh_gamma",21,47,"Wilcoxon rank sum test with continuity correction",372,NA,-0.25502089676047,-0.246200607902736,"A lower rank tendency",0.108232089859021,0.151985487887136
"wnt_beta","shh_delta",21,76,"Wilcoxon rank sum test with continuity correction",1076,NA,0.45471869343025,0.348370927318296,"A higher rank tendency",0.0150713698090801,0.0284202973542653
"wnt_beta","group3_alpha",21,67,"Wilcoxon rank sum test with continuity correction",330.5,NA,-0.439652598249999,-0.530206112295665,"A lower rank tendency",0.000265831769683675,0.000825899291644433
"wnt_beta","group3_beta",21,37,"Wilcoxon rank sum test with continuity correction",249,NA,-0.308310795636359,-0.359073359073359,"A lower rank tendency",0.0245170653319428,0.042582271366006
"wnt_beta","group3_gamma",21,40,"Wilcoxon rank sum exact test",364,NA,-0.0679175037156004,-0.133333333333333,"A lower rank tendency",0.402620808829711,0.474517381835017
"wnt_beta","group4_alpha",21,98,"Wilcoxon rank sum test with continuity correction",1014,NA,0.0609929999947791,-0.0145772594752187,"A lower rank tendency",0.919490348299881,0.933636353658341
"wnt_beta","group4_beta",21,109,"Wilcoxon rank sum test with continuity correction",1134,NA,0.0955834983827497,-0.00917431192660545,"A lower rank tendency",0.94955913195408,0.94955913195408
"wnt_beta","group4_gamma",21,119,"Wilcoxon rank sum test with continuity correction",1011,NA,-0.13575891414963,-0.190876350540216,"A lower rank tendency",0.164858426417401,0.222054207011193
"shh_alpha","shh_beta",65,35,"Wilcoxon rank sum test with continuity correction",1282,NA,0.0484452219655402,0.127032967032967,"A higher rank tendency",0.298041310552943,0.385700519539103
"shh_alpha","shh_gamma",65,47,"Wilcoxon rank sum test with continuity correction",1028,NA,-0.48210917827171,-0.327004909983633,"A lower rank tendency",0.00326067123183679,0.00768586790361529
"shh_alpha","shh_delta",65,76,"Wilcoxon rank sum test with continuity correction",3138.5,NA,0.22763041191901,0.270647773279352,"A higher rank tendency",0.00572961925148996,0.011817339706198
"shh_alpha","group3_alpha",65,67,"Wilcoxon rank sum test with continuity correction",701,NA,-0.666740879761239,-0.678071182548795,"A lower rank tendency",1.83902004101025e-11,2.42750645413353e-10
"shh_alpha","group3_beta",65,37,"Wilcoxon rank sum test with continuity correction",619,NA,-0.535399077147599,-0.485239085239085,"A lower rank tendency",4.95498137990619e-05,0.00018168265059656
