subtype,subgroup,annotated_n,n,mean,median,sd,variance,iqr,min,max,unique_values
"wnt_alpha","wnt",49,49,9.32104290580515,9.42206476617281,0.510988354466647,0.261109098400532,0.657335064266889,7.95535930524299,10.3640251899266,49
"wnt_beta","wnt",21,21,9.33298092758274,9.403012023575,0.632560012278132,0.400132169133311,0.91458452241868,8.25644459647344,10.5873087283335,21
"shh_alpha","shh",65,65,9.21765943693356,9.17592374206376,0.530008090202244,0.28090857567983,0.647815410240359,7.77676200178623,10.7967696971452,65
"shh_beta","shh",35,35,9.0700970418998,9.12747852009822,0.448669497612938,0.201304318088246,0.556065191008225,8.06716542701711,9.91781958866956,35
"shh_gamma","shh",47,47,9.56563670284575,9.65803292033547,0.660164045197126,0.435816566571033,0.752021001138544,8.51451681645401,11.8042923874427,46
"shh_delta","shh",76,76,8.99090289143459,8.94829333014475,0.35658310184765,0.127151508523292,0.410588922966262,7.90989308377004,9.75555526197214,76
"group3_alpha","group3",67,67,9.89384327942483,9.842664621825,0.447701885035011,0.200436977863903,0.622301876144231,8.92035285541508,10.7407926722777,67
"group3_beta","group3",37,37,9.62203561374945,9.71132281921136,0.494668903159671,0.244697323753191,0.572829457029279,8.00674683244059,10.2805388069432,36
"group3_gamma","group3",40,40,9.4959598619082,9.4709295272906,0.581821201290772,0.338515910271438,0.775839861724393,8.3151495622563,10.8067107179652,40
"group4_alpha","group4",98,98,9.36047903998961,9.34201902358022,0.423182553766262,0.179083473812135,0.565302330741801,8.36632221424582,10.4936553389637,96
"group4_beta","group4",109,109,9.37753202168382,9.30742852519225,0.371729147232159,0.138182558901948,0.449543616008171,7.84549005094438,10.3800280833808,109
"group4_gamma","group4",119,119,9.52315883391252,9.53877093772463,0.458326557935667,0.210063233709156,0.535713469273109,8.0698525111258,10.8059856443569,117
